==================================================================
fastsimcoal started on 26/06/2025 at 14:57:49

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
0	1	data unknown	768.261	0	0
1	1	data unknown	712.746	0	0
2	1	data unknown	969.631	0	0
3	1	data unknown	1472.05	0	0
4	1	data unknown	1006.94	0	0
5	1	data unknown	1022.72	0	0
6	1	data unknown	746.33	0	0
7	1	data unknown	1391.35	0	0
8	1	data unknown	1750.04	0	0
9	1	data unknown	508.514	0	0
10	1	data unknown	1142.74	0	0
11	1	data unknown	874.454	0	0
12	1	data unknown	737.007	0	0
13	1	data unknown	549.24	0	0
14	1	data unknown	1070.13	0	0
15	1	data unknown	735.256	0	0
16	1	data unknown	3382.72	0	0
17	1	data unknown	1072.28	0	0
18	1	data unknown	1919.06	0	0
19	1	data unknown	1086.07	0	0
20	1	data unknown	557.663	0	0
21	1	data unknown	1683.66	0	0
22	1	data unknown	176.926	0	0
23	1	data unknown	633.488	0	0
24	1	data unknown	2835.45	0	0
25	1	data unknown	380.783	0	0
26	1	data unknown	844.357	0	0
27	1	data unknown	1036.88	0	0
28	1	data unknown	1044.23	0	0
29	1	data unknown	524.876	0	0
30	1	data unknown	2501.61	0	0
31	1	data unknown	5757.09	0	0
32	1	data unknown	1842.32	0	0
33	1	data unknown	538.483	0	0
34	1	data unknown	623.772	0	0
35	1	data unknown	775.421	0	0
36	1	data unknown	1690	0	0
37	1	data unknown	697.292	0	0
38	1	data unknown	3362.15	0	0
39	1	data unknown	1049.55	0	0
40	1	data unknown	873.352	0	0
41	1	data unknown	850.758	0	0
42	1	data unknown	1442.38	0	0
43	1	data unknown	546.558	0	0
44	1	data unknown	691.353	0	0
45	1	data unknown	1781.72	0	0
46	1	data unknown	862.915	0	0
47	1	data unknown	2849.52	0	0
48	1	data unknown	1243.86	0	0
49	1	data unknown	1532.27	0	0
50	1	data unknown	2200.68	0	0
51	1	data unknown	2749.35	0	0
52	1	data unknown	1065.8	0	0
53	1	data unknown	3209.28	0	0
54	1	data unknown	469.742	0	0
55	1	data unknown	3360.8	0	0
56	1	data unknown	544.704	0	0
57	1	data unknown	686.398	0	0
58	1	data unknown	754.265	0	0
59	1	data unknown	720.314	0	0
60	1	data unknown	679.325	0	0
61	1	data unknown	498.466	0	0
62	1	data unknown	1067.64	0	0
63	1	data unknown	2102.97	0	0
64	1	data unknown	1669.45	0	0
65	1	data unknown	678.581	0	0
66	1	data unknown	989.33	0	0
67	1	data unknown	2381.63	0	0
68	1	data unknown	1290.07	0	0
69	1	data unknown	1373.06	0	0
70	1	data unknown	2395.97	0	0
71	1	data unknown	1940.81	0	0
72	1	data unknown	2038.18	0	0
73	1	data unknown	2586.17	0	0
74	1	data unknown	1224.75	0	0
75	1	data unknown	1079.77	0	0
76	1	data unknown	816.601	0	0
77	1	data unknown	543.068	0	0
78	1	data unknown	867.767	0	0
79	1	data unknown	1654.05	0	0
80	1	data unknown	738.544	0	0
81	1	data unknown	507.225	0	0
82	1	data unknown	3077.18	0	0
83	1	data unknown	1906.3	0	0
84	1	data unknown	445.709	0	0
85	1	data unknown	1412.95	0	0
86	1	data unknown	1286.41	0	0
87	1	data unknown	937.176	0	0
88	1	data unknown	534.756	0	0
89	1	data unknown	591.206	0	0
90	1	data unknown	546.066	0	0
91	1	data unknown	1055.97	0	0
92	1	data unknown	629.078	0	0
93	1	data unknown	632.5	0	0
94	1	data unknown	845.982	0	0
95	1	data unknown	2555.46	0	0
96	1	data unknown	624.279	0	0
97	1	data unknown	1861.21	0	0
98	1	data unknown	2661.51	0	0
99	1	data unknown	1528.39	0	0
100	1	data unknown	1175.63	0	0
101	1	data unknown	1541.76	0	0
102	1	data unknown	5793.57	0	0
103	1	data unknown	656.796	0	0
104	1	data unknown	704.51	0	0
105	1	data unknown	591.869	0	0
106	1	data unknown	1553.42	0	0
107	1	data unknown	102.31	0	0
108	1	data unknown	888.489	0	0
109	1	data unknown	4589.44	0	0
110	1	data unknown	614.628	0	0
111	1	data unknown	1086.84	0	0
112	1	data unknown	675.812	0	0
113	1	data unknown	750.793	0	0
114	1	data unknown	1553.28	0	0
115	1	data unknown	2060.37	0	0
116	1	data unknown	542.297	0	0
117	1	data unknown	540.676	0	0
118	1	data unknown	1612.6	0	0
119	1	data unknown	2411.83	0	0
120	1	data unknown	432.777	0	0
121	1	data unknown	1196.73	0	0
122	1	data unknown	3131.13	0	0
123	1	data unknown	2296	0	0
124	1	data unknown	2270	0	0
125	1	data unknown	809.013	0	0
126	1	data unknown	1201.72	0	0
127	1	data unknown	1924.15	0	0
128	1	data unknown	2073.56	0	0
129	1	data unknown	1315.06	0	0
130	1	data unknown	356.712	0	0
131	1	data unknown	2724.96	0	0
132	1	data unknown	611.637	0	0
133	1	data unknown	756.496	0	0
134	1	data unknown	776.501	0	0
135	1	data unknown	1067.9	0	0
136	1	data unknown	1426.24	0	0
137	1	data unknown	807.804	0	0
138	1	data unknown	2101.9	0	0
139	1	data unknown	2239.72	0	0
140	1	data unknown	2101.08	0	0
141	1	data unknown	1315.35	0	0
142	1	data unknown	2247.53	0	0
143	1	data unknown	904.922	0	0
144	1	data unknown	1083.34	0	0
145	1	data unknown	1524.59	0	0
146	1	data unknown	2367.93	0	0
147	1	data unknown	2432.67	0	0
148	1	data unknown	521.805	0	0
149	1	data unknown	889.011	0	0
150	1	data unknown	666.595	0	0
151	1	data unknown	790.497	0	0
152	1	data unknown	1623.24	0	0
153	1	data unknown	1745.43	0	0
154	1	data unknown	865.124	0	0
155	1	data unknown	688.614	0	0
156	1	data unknown	216.484	0	0
157	1	data unknown	3201.15	0	0
158	1	data unknown	712.818	0	0
159	1	data unknown	864.162	0	0
160	1	data unknown	2674.59	0	0
161	1	data unknown	1157.44	0	0
162	1	data unknown	1042.97	0	0
163	1	data unknown	1194.82	0	0
164	1	data unknown	888.485	0	0
165	1	data unknown	2161.67	0	0
166	1	data unknown	1286.29	0	0
167	1	data unknown	1272.45	0	0
168	1	data unknown	508.621	0	0
169	1	data unknown	987.122	0	0
170	1	data unknown	1992.03	0	0
171	1	data unknown	712.288	0	0
172	1	data unknown	591.412	0	0
173	1	data unknown	1741.21	0	0
174	1	data unknown	680.653	0	0
175	1	data unknown	866.276	0	0
176	1	data unknown	2801.25	0	0
177	1	data unknown	3090.3	0	0
178	1	data unknown	2010.71	0	0
179	1	data unknown	2332.64	0	0
180	1	data unknown	3319.62	0	0
181	1	data unknown	1023.42	0	0
182	1	data unknown	797.249	0	0
183	1	data unknown	1210.12	0	0
184	1	data unknown	1255.65	0	0
185	1	data unknown	63.7054	0	0
186	1	data unknown	1025.52	0	0
187	1	data unknown	1.60217	0	0
188	1	data unknown	477.562	0	0
189	1	data unknown	687.214	0	0
190	1	data unknown	7333.4	0	0
191	1	data unknown	988.472	0	0
192	1	data unknown	674.885	0	0
193	1	data unknown	915.55	0	0
194	1	data unknown	1201.5	0	0
195	1	data unknown	1213.73	0	0
196	1	data unknown	622.04	0	0
197	1	data unknown	966.408	0	0
198	1	data unknown	1081.38	0	0
199	1	data unknown	2031.22	0	0
200	1	data unknown	795.197	0	0
201	1	data unknown	1184.6	0	0
202	1	data unknown	662.254	0	0
203	1	data unknown	964.413	0	0
204	1	data unknown	901.787	0	0
205	1	data unknown	1794.25	0	0
206	1	data unknown	1171.73	0	0
207	1	data unknown	728.371	0	0
208	1	data unknown	10029.3	0	0
209	1	data unknown	2904.06	0	0
210	1	data unknown	1340.38	0	0
211	1	data unknown	934.639	0	0
212	1	data unknown	607.525	0	0
213	1	data unknown	757.191	0	0
214	1	data unknown	1904.3	0	0
215	1	data unknown	1761.31	0	0
216	1	data unknown	2834.98	0	0
217	1	data unknown	514.111	0	0
218	1	data unknown	1246.07	0	0
219	1	data unknown	1437.45	0	0
220	1	data unknown	824.154	0	0
221	1	data unknown	3576.79	0	0
222	1	data unknown	693.279	0	0
223	1	data unknown	676.67	0	0
224	1	data unknown	951.145	0	0
225	1	data unknown	666.458	0	0
226	1	data unknown	942.467	0	0
227	1	data unknown	1172.03	0	0
228	1	data unknown	1480.14	0	0
229	1	data unknown	687.115	0	0
230	1	data unknown	577.015	0	0
231	1	data unknown	505.291	0	0
232	1	data unknown	5167.37	0	0
233	1	data unknown	1508.35	0	0
234	1	data unknown	1413.97	0	0
235	1	data unknown	1779.09	0	0
236	1	data unknown	1057.32	0	0
237	1	data unknown	1914.83	0	0
238	1	data unknown	537.491	0	0
239	1	data unknown	602.379	0	0
240	1	data unknown	2374.81	0	0
241	1	data unknown	1072.04	0	0
242	1	data unknown	617.485	0	0
243	1	data unknown	1332.19	0	0
244	1	data unknown	993.412	0	0
245	1	data unknown	1941.89	0	0
246	1	data unknown	1353.71	0	0
247	1	data unknown	1164.92	0	0
248	1	data unknown	1711.8	0	0
249	1	data unknown	3973.63	0	0
250	1	data unknown	172.729	0	0
251	1	data unknown	2728.83	0	0
252	1	data unknown	589.527	0	0
253	1	data unknown	1022.16	0	0
254	1	data unknown	350.227	0	0
255	1	data unknown	1783.22	0	0
256	1	data unknown	3127.79	0	0
257	1	data unknown	2272.98	0	0
258	1	data unknown	1307.98	0	0
259	1	data unknown	1651.71	0	0
260	1	data unknown	1254.92	0	0
261	1	data unknown	1120.58	0	0
262	1	data unknown	2441.79	0	0
263	1	data unknown	1562.05	0	0
264	1	data unknown	1893.12	0	0
265	1	data unknown	1334.66	0	0
266	1	data unknown	631.29	0	0
267	1	data unknown	1144.7	0	0
268	1	data unknown	717.747	0	0
269	1	data unknown	5175.78	0	0
270	1	data unknown	910.053	0	0
271	1	data unknown	1806.73	0	0
272	1	data unknown	1241.74	0	0
273	1	data unknown	1142.39	0	0
274	1	data unknown	708.069	0	0
275	1	data unknown	840.95	0	0
276	1	data unknown	848.862	0	0
277	1	data unknown	1609.93	0	0
278	1	data unknown	899.158	0	0
279	1	data unknown	1955.46	0	0
280	1	data unknown	4397.07	0	0
281	1	data unknown	1223.71	0	0
282	1	data unknown	1043.31	0	0
283	1	data unknown	948.288	0	0
284	1	data unknown	3394.31	0	0
285	1	data unknown	609.245	0	0
286	1	data unknown	954.861	0	0
287	1	data unknown	2578.85	0	0
288	1	data unknown	585.526	0	0
289	1	data unknown	2332.37	0	0
290	1	data unknown	627.037	0	0
291	1	data unknown	1207.1	0	0
292	1	data unknown	551.376	0	0
293	1	data unknown	1600.72	0	0
294	1	data unknown	695.141	0	0
295	1	data unknown	1155.88	0	0
296	1	data unknown	759.712	0	0
297	1	data unknown	575.42	0	0
298	1	data unknown	1261.96	0	0
299	1	data unknown	830.406	0	0
300	1	data unknown	705.986	0	0
301	1	data unknown	1584.86	0	0
302	1	data unknown	2782.37	0	0
303	1	data unknown	1311.5	0	0
304	1	data unknown	973.156	0	0
305	1	data unknown	2080.37	0	0
306	1	data unknown	1218.8	0	0
307	1	data unknown	245.438	0	0
308	1	data unknown	1435.73	0	0
309	1	data unknown	1232.3	0	0
310	1	data unknown	1043.88	0	0
311	1	data unknown	1751.82	0	0
312	1	data unknown	1550.69	0	0
313	1	data unknown	896.194	0	0
314	1	data unknown	2868.06	0	0
315	1	data unknown	888.321	0	0
316	1	data unknown	931.11	0	0
317	1	data unknown	936.005	0	0
318	1	data unknown	676.628	0	0
319	1	data unknown	708.157	0	0
320	1	data unknown	961.3	0	0
321	1	data unknown	1317.26	0	0
322	1	data unknown	255.432	0	0
323	1	data unknown	1739.62	0	0
324	1	data unknown	5320.05	0	0
325	1	data unknown	3125.86	0	0
326	1	data unknown	1989.34	0	0
327	1	data unknown	1430.5	0	0
328	1	data unknown	532.524	0	0
329	1	data unknown	2916.11	0	0
330	1	data unknown	1148.37	0	0
331	1	data unknown	614.62	0	0
332	1	data unknown	953.754	0	0
333	1	data unknown	1829.14	0	0
334	1	data unknown	835.869	0	0
335	1	data unknown	502.945	0	0
336	1	data unknown	2275.45	0	0
337	1	data unknown	2225.94	0	0
338	1	data unknown	1213.01	0	0
339	1	data unknown	2491	0	0
340	1	data unknown	765.24	0	0
341	1	data unknown	798.618	0	0
342	1	data unknown	1195.03	0	0
343	1	data unknown	1030.74	0	0
344	1	data unknown	1678.74	0	0
345	1	data unknown	1485.9	0	0
346	1	data unknown	1018.59	0	0
347	1	data unknown	111.427	0	0
348	1	data unknown	1174.48	0	0
349	1	data unknown	1784.11	0	0
350	1	data unknown	909.801	0	0
351	1	data unknown	1279.87	0	0
352	1	data unknown	1181.11	0	0
353	1	data unknown	3278.53	0	0
354	1	data unknown	2633.39	0	0
355	1	data unknown	1442.94	0	0
356	1	data unknown	1790.93	0	0
357	1	data unknown	804.573	0	0
358	1	data unknown	3295.7	0	0
359	1	data unknown	3801.93	0	0
360	1	data unknown	612.282	0	0
361	1	data unknown	538.998	0	0
362	1	data unknown	527.569	0	0
